event_type,block_number,block_hash,transaction_hash,transaction_index,log_index,timestamp,is_initialization,amount0_raw,amount1_raw,sqrt_price_x96,tick,owner,tick_lower,tick_upper,liquidity_added
Swap,25555794,83d4e75fa4c203ac3ce330047d3a5db6777af7686324fba326829e1e21048017,04e4e6b3e377e55a68e4ab1eb7ac18b0a950579c12c277f5ae800545819d56ba,427,651,2026-07-17T23:47:11Z,true,-4714465996415244,8704863,3399318614212652540534533,-201141,,,,
Swap,25555860,449f2c1b075edc3c06d4fe0fbf0b8b99200c72e6e0e8ad7f6702f41d5280bf84,ff572b216b639c78d7fc5aabba103a7c0fa49e55c29563759abd703a3eccca09,105,718,2026-07-18T00:00:23Z,false,-43113709118529,79606,3399318614702708648214945,-201141,,,,
Swap,25555868,ae42ed702265c00beef9cbdb06056ad0e5ae85ab798a0afbea2bb93b8cbaac9f,788ef188baff797a66caeb78c2953244a4e548ba89a2d9efb7c5511bf8f672e9,191,521,2026-07-18T00:01:59Z,false,-4644863665888609,8576349,3399318667498997602039377,-201141,,,,
Swap,25555892,2b863200e648d92615f99faca3fbb4461f6fc902bd49215973a9c25bf5af3121,2043838bec970a5906da09bf148755c8662d6c8a94f8f491c614c75c7c289fbf,19,62,2026-07-18T00:06:47Z,false,410955592935891152,-754247795,3399314010352588796818058,-201141,,,,
Swap,25555916,004a03e8075eba3894c9cd9c675ae0346bdeb8a73b8d0637c6b92300bfe67a59,538022d7089922f47b5ef8f6c0a1de7cbff099fe0055ec32ae8fe5f8214d960f,76,156,2026-07-18T00:11:35Z,false,8244930656066080,-15132321,3399313916917200169905264,-201141,,,,
Swap,25555917,95686c510574917e1c09b3ec0a7b47dde9a33441086b48a8b09cdf9392b857d4,b82357239278e5c0ca859a7b30c0cff00bec2af2c84aa9c3fa5de0bb84440367,85,174,2026-07-18T00:11:47Z,false,1185193150280485,-2175242,3399313903486040620787543,-201141,,,,
Swap,25555918,d79019943b85843a026178870c3eb1ca84b8ce44cd9026b8cda86378bc871f73,c75b75a0322a63ed069cb7435675865237b533919fb5cda2df75f126dc52d2be,64,275,2026-07-18T00:11:59Z,false,-7281878773372,13446,3399313903568810564510449,-201141,,,,
Swap,25555920,4a7cff685a925f947cb8c0c03f4ffb38624db239dab7a098bd636999a8be748e,47b7e5d58583555e4f011f0844deef67260711ba1dce82673312d1b2ed8499a0,46,88,2026-07-18T00:12:23Z,false,866873609480513,-1591015,3399313893744996044478489,-201141,,,,
Swap,25555922,39d127b1c4e7f198364bba8b120767a5303f500a40d916de49d339ef084eecb6,e8865dbe3b70053b9d8abd0be23e5d6777a310107d314dea271d5707caa82bef,33,102,2026-07-18T00:12:47Z,false,4145477634639617,-7608395,3399313846766518151324870,-201141,,,,
Swap,25555933,d0db97b16f5ea9ecfc2075f674e6bdc4fb4a3397357675e6d7b6393ddd3b4e24,c31605827aac27d4319f4ea216de2e23f183d5c7611323657c106974b17f517a,46,151,2026-07-18T00:14:59Z,false,-12482677949602,23049,3399313846908403308863748,-201141,,,,
Swap,25555936,32e3f52d5217369c5b88e0080fc1ffd374e4cdb24501867f2a71b8c86cfed1fb,3d088caeb63677a404f750456c87d0bf84addc602e7d4b0774153fbfe5ed952d,198,364,2026-07-18T00:15:35Z,false,2580890028166048,-4736832,3399313817660559487197426,-201141,,,,
Swap,25555962,ea02ff1b344906a1a55f5ffa2f14bfdd7239d2ea5ace158c719b14cd58bcb8e8,7cc1f802057ea70c419bc3a4e104e805b842446e86170bcbc6b594d673415a9d,43,151,2026-07-18T00:20:47Z,false,27898245853136,-51203,3399313817344403617861805,-201141,,,,
Swap,25555976,e70a6c93934b6166f4ab50a3db677d9652b693e940f7f346f37e5a50a4c174bf,e66fd0433063749110c41bd6a24c1a378d53f112520a7a211e8fe039ca93313e,60,171,2026-07-18T00:23:35Z,false,-12054619921455,22258,3399313817481423224065088,-201141,,,,
Swap,25555998,db14b96617494b0e6786f1478f4d5f96c9c29d1802b91dd7227bf41044b87223,0a554a1e2eeb3adbdd58bc3753ea728ceba7d2171b2fb35a1d83ef0a8c508b9c,33,105,2026-07-18T00:27:59Z,false,-27380066775193858,50554840,3399314128698727081268852,-201141,,,,
Swap,25556012,bb0a8a9251309ae52687b9eaefcdac4ef01efb9a2087f0c6719c8d9addc7f597,69a0b43f904ab4743a1e7e662261536febd83c8deaf7a41b3b23535ab5ccc9b6,96,142,2026-07-18T00:30:47Z,false,-102202689609088,188709,3399314129860420684544876,-201141,,,,
Swap,25556055,4cd9aba8f3b8d8567072ee07daaa7b648649f3f710bfde42c3f5cdad58403a93,c7249ab3c03ec4d2b44e3b60688af3742fb4abc5610804a1c93c7f840e6c4cd7,85,342,2026-07-18T00:39:23Z,false,-75859126658087551,140067128,3399314992118399505649869,-201141,,,,
Swap,25556137,fc6752de14f9dc6591d080ff9a5affe5242d8d697138a67b78ff2cc64c6a87b7,059eb9334e4e25779ea5ddcc2face7083ba61bf5ed7c2bf31cfef00e80771f33,90,347,2026-07-18T00:55:59Z,false,38098143242654508,-69923404,3399314560372315730961500,-201141,,,,
Swap,25556155,26f65db1d7b16ab4ab035d46ae42eb0143cb0ee263c2ef394fae4b5b29335047,3256443f5f287821aae64aa5d9c2cd28718f6e73016907e8ec4dfb3d02342f21,82,645,2026-07-18T00:59:35Z,false,-25386732741005794,46874348,3399314848932383276045636,-201141,,,,
Swap,25556160,34b51e7b08e9324752efbf44fc4be5af4126cb712db6830a8ac8041df6a61117,a2c8c326aedc596d0927a80228855f9ad8b09818a5e71265b618b9087072ca36,817,610,2026-07-18T01:00:35Z,false,-107664649185879665,198793300,3399316072710668576563032,-201141,,,,
Swap,25556167,febba88095330a88949d1c69897c8460025419a6b938fbaa0883459aaa2e5ea8,9a4ede0b1aa6247eed4c5cbb592b2f96f195485901ad4168346b478a119dafcc,169,1265,2026-07-18T01:01:59Z,false,-4166348861707200,7692800,3399316120067802149140091,-201141,,,,
Swap,25556169,65716e65014e769a02375aeb1763c2c49e79afece9d79d25fca24165c8107840,b9232fdccd03856104ae97b03b312fcc456b3e9c702e96c4542a30ef3a290f3d,142,768,2026-07-18T01:02:23Z,false,-5248230235261427,9690400,3399316179722227725308868,-201141,,,,
Swap,25556172,d7425e4e49a1d9b46e7d0328098335b7f4bcc52eac5f8f18862599339d8201b5,0effababd2048cc07d3ff3a761430bc5c7fbd92c2a353b6c3c291c9f8bb87029,202,859,2026-07-18T01:02:59Z,false,-5265236107275232,9721800,3399316239569953999589493,-201141,,,,
Swap,25556193,cc85b31c093993937449227a971fe519b077566d3bc490a1e31734f819f5e226,302ef495558cffcb653d794649a60ddafd5085d7ba4216d79aab07f8130c5171,350,348,2026-07-18T01:07:11Z,false,-126842434706187810,234203600,3399317681335244471282869,-201141,,,,
Mint,25556196,9771bf7d65601bcf4169f345eb342993545e1193345a2a1f20c226d430196adf,8bdb8c899e5fdd9dd7fb45276ae29250a3674d7c3728f58f9fd4993c4da08a4e,617,474,2026-07-18T01:07:47Z,false,491887637113577,776416,,,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-202080,-200040,394283146124
Swap,25556198,426e26d42bc1712dd3376bb6f7b41778938c741f4bda9e8c0365328081be49ca,3fea8cafc8d0ae984064a898c717c849e5aab48e5fc81c3d6895b94566daa87c,85,336,2026-07-18T01:08:11Z,false,20124109112033478,-36934832,3399317453279004461539135,-201141,,,,
Swap,25556199,e18bcddd5f6522d6a2fae8ee601cc94b218caa8036c06887d5d8cd5dd1d99521,3f59acbf2bea45cf8c5cbe24610fc15c32b618050bf4cafc8953c43e2b2c6a65,237,375,2026-07-18T01:08:23Z,false,-5290362059713993,9768200,3399317513412370094051047,-201141,,,,
Swap,25556207,c1614770135a051145b9f72113ebd74b4d41752bc0525707b60675426abc535f,fa59cc20e047b339f6f6354594834c5502ed8ba89cc947f5ae7bbd30b0d0a8ba,1,12,2026-07-18T01:09:59Z,false,-55386705161781,102267,3399317514041927960717739,-201141,,,,
Mint,25556211,1b088f0e40085631637c20aa1f14c20f198c1f1793b0440097cacefc433a50a3,ca1da246ef52010641e3818fabc9bb7e14ec4ff6b5e5514987f7c0ad2542c95f,1176,909,2026-07-18T01:10:47Z,false,3600777777712482380,8499128334,,,0x05D9915E1f299E2aA496C821485cCb32BD0c76AE,-204540,-198540,1267246640705529
Swap,25556253,c85ff4794f7c9186c6541d17a4725b374a9d29d8b74d4be1c13101afc93b77ba,bee33926a0cd6fd6ee99ee7e6b617ec6418fa79d689d78dfaaceca97f854743d,1,21,2026-07-18T01:19:11Z,false,-140112330439764571,258705522,3399319106641785315526994,-201141,,,,
Mint,25556255,d1007d90237c9797920eba72805cc87e16b8c66a33ec06819b3ce8dfff06647a,1d8d439ae1c508a8f87e27bff3cc3de9d65b31b7c6c68abdd7d85e261ed7d60d,73,215,2026-07-18T01:19:35Z,false,2999894324969806756,5127537650,,,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201660,-200580,4659311876150716
Swap,25556259,c4807e438476f60e7c837d5b89c55207476bd81319fbeb19de1bc94350bbd9b7,f04ee43a33c47da48fbc399d7a826eaeee1317f4f3cc52bd76334b8746aee177,7,85,2026-07-18T01:20:23Z,false,207933540438715147,-381631407,3399316751092185698101450,-201141,,,,
Swap,25556264,98fb47c29f590108b1f8eaaec270958a222eee70d74d8ed652d5e31bdc6af10f,0559b8ce7497fb887dd97a236583e455cd12b039285419a1f0727fb502b70cda,11,113,2026-07-18T01:21:23Z,false,-204214128203684542,377063960,3399319071467983635433203,-201141,,,,
