block_number,block_hash,transaction_hash,transaction_index,log_index,timestamp,date,owner,tick_lower,tick_upper,liquidity_added,amount0_raw,amount1_raw,current_price_usdt_per_eth,lower_price_usdt_per_eth,upper_price_usdt_per_eth,range_center_usdt_per_eth,displacement,range_width,classification,weth_amount,usdt_amount,mint_value_usdt
25556196,9771bf7d65601bcf4169f345eb342993545e1193345a2a1f20c226d430196adf,8bdb8c899e5fdd9dd7fb45276ae29250a3674d7c3728f58f9fd4993c4da08a4e,617,474,2026-07-18 01:07:47+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-202080,-200040,394283146124,491887637113577,776416,1840.8751659218713,1675.7757117955,2054.9797014789824,1855.7168620161983,0.008029977737397793,0.20398980067992648,Around,0.000491887637113577,0.776416,1.6819197355863733
25556211,1b088f0e40085631637c20aa1f14c20f198c1f1793b0440097cacefc433a50a3,ca1da246ef52010641e3818fabc9bb7e14ec4ff6b5e5514987f7c0ad2542c95f,1176,909,2026-07-18 01:10:47+00:00,2026-07-18,0x05D9915E1f299E2aA496C821485cCb32BD0c76AE,-204540,-198540,1267246640705529,3600777777712482380,8499128334,1840.8749847289773,1310.3423890811266,2387.527879957222,1768.7506851506641,-0.039967523994996465,0.5999700019997839,Around,3.6007777777124823,8499.128334,15127.710070558907
25556255,d1007d90237c9797920eba72805cc87e16b8c66a33ec06819b3ce8dfff06647a,1d8d439ae1c508a8f87e27bff3cc3de9d65b31b7c6c68abdd7d85e261ed7d60d,73,215,2026-07-18 01:19:35+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201660,-200580,4659311876150716,2999894324969806756,5127537650,1840.876709650473,1747.6535676244573,1946.9590038224692,1844.6164503898628,0.0020294391336749024,0.10799460035996122,Around,2.999894324969807,5127.53765,10649.973244249544
25556534,eb9911a32abd10360bdff2de897cc1685bd4b1e3ea74e49f8593ea1929708f16,66365b40178f642ddc8e180997a8eddc3ef7e0db83ffa3713789039d2e7ee472,26,133,2026-07-18 02:15:47+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-208080,-194220,132370297920307,902366876895645210,1665041512,1840.8760199903672,919.7127992480592,3677.5136020677696,1839.0911693634337,-0.000970036239483234,1.3859307046195009,Around,0.9023668768956452,1665.041512,3326.187056910793
25556784,deec0d21f2260d2b6f0a00bd35b1f04cf0ce9458b540d41da99dfc83655c0658,0d71b8f1cde123235aaf97e41c89019709ac5e5451e24eb9e3ff06a382cf9714,359,506,2026-07-18 03:05:59+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201540,-200640,8684410755561250,4999999999551892638,7372647416,1840.8793297742513,1768.750685150664,1935.3128056311414,1850.1583313167916,0.005027865842536743,0.08999550029996765,Around,4.999999999551893,7372.647416,16577.044064046346
25556812,566624dad88e6c80588cb124c88331c149d4bba41337f0e3eb8ab0799a4b93ec,7bd528a0c183790498678513a4a0690b0adda88308436df71de9e07a448b604b,58,181,2026-07-18 03:11:35+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201540,-200640,694749304645443,399999999894550533,589805006,1840.8788643040148,1768.750685150664,1935.3128056311414,1850.1583313167916,0.005028118694686278,0.08999550029996765,Around,0.39999999989455054,589.805006,1326.1565515274863
25557068,b0a51957464111ebf8b3b96951d8a1abe39ac28c25e0fd44e90542b2910357e8,2762bcb1780d93ae617a33a2242b0736897f3b427d76d8713aee6a36fe03dd36,32,353,2026-07-18 04:03:11+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-203160,-200160,2889228183750485,3220821877534358888,11906704298,1840.8802049099054,1504.2306466175942,2030.4685317363806,1747.653567624457,-0.05196975973734581,0.29998500099989206,Around,3.220821877534359,11906.704298,17835.85153589376
25557519,dfb24bdf9c696da3b9e0971fcc781bd07437cff962093b2d981bb7af7de4c6cc,8c804370f4425684f359a2b1f6041e39a695702359340bb446923295363b000c,814,1110,2026-07-18 05:33:47+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-202380,-201060,2518647932991017,230318471935651555,6503634873,1841.1824140907765,1626.2514939538191,1855.7168620161983,1737.1995622867096,-0.05813361187142783,0.13199340043995242,Around,0.23031847193565155,6503.634873,6927.693193168182
25557558,1d52087f036bf1a3066a7ac69f151fb6cf3fd39ed09609bb467a8570a2602d48,411a2f82e1e6f178ab95acded3b0dd0234daecd1886e39eacd5fd2a86ef45ee5,62,122,2026-07-18 05:41:35+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201780,-200520,104022650905191,72217436224925154,143839729,1843.6420978294593,1726.8080900674395,1958.6752857397544,1839.0911693634334,-0.0024714962786476814,0.12599370041995467,Around,0.07221743622492516,143.839729,276.9828346215862
25557594,4d87431f7db10d5f434a32511a8bf4a7484b786cda4a73d493a2b8392c2bbc4d,27e887b086749022b3c653c6a91ac0285504b33e6317f76a492d8c2e7bcd1ad0,68,235,2026-07-18 05:48:47+00:00,2026-07-18,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-201780,-200580,263721848969133,164852125460707269,365282269,1843.842291856047,1726.8080900674395,1946.9590038224692,1833.5824385149097,-0.005579926559437322,0.11999400039995695,Around,0.16485212546070727,365.282269,669.2435898268111
